date,strategy,action,holdings,cash,equity,note,logged_at,prev_hash,row_hash
2026-07-24,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,8138.12,,2026-07-28 15:57,fdef03cc9b3f17f746c607aa4160853f48573b059427363518707d25eb1a846b,d3bad5a4f2c663560cb0d0e7402047e5c6bc317c014dbdf7bb9061316c5c4a02
2026-07-24,overnight,ROLL,{},10218.98,10218.98,隔夜-0.22%-成本,2026-07-28 15:57,d3bad5a4f2c663560cb0d0e7402047e5c6bc317c014dbdf7bb9061316c5c4a02,275354a3f0be58d22b370422e0f64681e059859581952f4870041567e1ed5cb5
2026-07-24,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9469.03,,2026-07-28 15:57,275354a3f0be58d22b370422e0f64681e059859581952f4870041567e1ed5cb5,4a76fb85d3a164483ec880a24541eeb889a50bf9993d50a2098bc7d99b18833c
2026-07-24,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,9923.04,,2026-07-28 15:57,4a76fb85d3a164483ec880a24541eeb889a50bf9993d50a2098bc7d99b18833c,e2b9db36f8adc623596659bf6090939d2d39e665e5714f27a7aba9f1a7c741c1
2026-07-27,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,9905.67,,2026-07-28 15:18,e2b9db36f8adc623596659bf6090939d2d39e665e5714f27a7aba9f1a7c741c1,1575eef56f2c4b8fa7611559f0880be6ee0b43a3061202440f7a12e78d6165a9
2026-07-27,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,7777.28,,2026-07-28 15:18,1575eef56f2c4b8fa7611559f0880be6ee0b43a3061202440f7a12e78d6165a9,a23f22412634e223c7fe71b6d55d36102617b3c4db3a8b7955c4eb4a1279f988
2026-07-27,overnight,ROLL,{},10243.98,10243.98,隔夜+1.09%-成本,2026-07-28 15:18,a23f22412634e223c7fe71b6d55d36102617b3c4db3a8b7955c4eb4a1279f988,c1f5b0a6c612b5a258bb854e071c213b90506ca3bcae586581124b8a99f84ee8
2026-07-27,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9452.45,,2026-07-28 15:18,c1f5b0a6c612b5a258bb854e071c213b90506ca3bcae586581124b8a99f84ee8,a778b8f4bea3496d9339798006d2df552130bc5c49314e3bc4f1392386486ce6
2026-07-27,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,9905.67,,2026-07-28 15:18,a778b8f4bea3496d9339798006d2df552130bc5c49314e3bc4f1392386486ce6,c3df90dbfc09e15dabecf9295b680352a936f584d4e082884124634492af2b26
2026-07-28,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,9883.75,,2026-07-28 20:10,c3df90dbfc09e15dabecf9295b680352a936f584d4e082884124634492af2b26,4bcce93c33173156c75e7442cc76a3a5ab6cc5ba9c44c34ff43d78f7621022bf
2026-07-28,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,7045.73,,2026-07-28 20:10,4bcce93c33173156c75e7442cc76a3a5ab6cc5ba9c44c34ff43d78f7621022bf,0c3f94f982a4d1caa733e681f7bd22e8ca46f784d59785d71cb1052a509b96eb
2026-07-28,overnight,ROLL,{},10152.88,10152.88,隔夜-0.87%-成本,2026-07-28 20:10,0c3f94f982a4d1caa733e681f7bd22e8ca46f784d59785d71cb1052a509b96eb,60c398fb3b1b33ad463e21d48e7010c22d1997a4f8e5d92a9623670481cda7fe
2026-07-28,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9431.53,,2026-07-28 20:10,60c398fb3b1b33ad463e21d48e7010c22d1997a4f8e5d92a9623670481cda7fe,571f802b5c715fe87ccad3f2e4e4150d05da9e17a91365364ff36cf40010debb
2026-07-28,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,9883.75,,2026-07-28 20:10,571f802b5c715fe87ccad3f2e4e4150d05da9e17a91365364ff36cf40010debb,723b09f1969085ace99735039b071b561300295224f28a4aedf98dfaba4da369
2026-07-29,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,9711.33,,2026-07-29 20:41,723b09f1969085ace99735039b071b561300295224f28a4aedf98dfaba4da369,c00803fb0cb6834c859fe70072bb167fe8ce2d3ae7e2e3913d33c4970edf3d71
2026-07-29,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,6509.52,,2026-07-29 20:41,c00803fb0cb6834c859fe70072bb167fe8ce2d3ae7e2e3913d33c4970edf3d71,ce23709742202063f25082c0ed3d36117745d992af6dbd7c0c29211dacd45eef
2026-07-29,overnight,ROLL,{},10051.72,10051.72,隔夜-0.98%-成本,2026-07-29 20:41,ce23709742202063f25082c0ed3d36117745d992af6dbd7c0c29211dacd45eef,f638a1c094ba683c4fc7217e5887103e31bd1136605462904a31c5658279b9a7
2026-07-29,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9267.0,,2026-07-29 20:41,f638a1c094ba683c4fc7217e5887103e31bd1136605462904a31c5658279b9a7,63f0eb4e25f37c53759a645f083dce9b6f621d21ceb6ec15bbb84cb75bfa6cf4
2026-07-29,trend,HOLD,"{""NASDAQ"": 0.397306}",0.0,9711.33,,2026-07-29 20:41,63f0eb4e25f37c53759a645f083dce9b6f621d21ceb6ec15bbb84cb75bfa6cf4,0eb36d5e08e6cfd011b4c401d5bdc4898e776485f3f920e55c7dde31cd3ebc03
2026-07-30,buyhold,HOLD,"{""NASDAQ"": 0.397306}",0.0,9981.19,,2026-07-30 20:10,0eb36d5e08e6cfd011b4c401d5bdc4898e776485f3f920e55c7dde31cd3ebc03,6bad2318eadbbf79c920e05662421f71dd2a8d672ad6245c7b3c27dec7eea0f1
2026-07-30,momentum,HOLD,"{""SNDK"": 1.721751, ""MU"": 3.389562, ""INTC"": 27.546665}",0.0,7678.81,,2026-07-30 20:10,6bad2318eadbbf79c920e05662421f71dd2a8d672ad6245c7b3c27dec7eea0f1,94318ef62c7ea8b3d4782f38c1ffef8dcdaf692251c3ca77255e0e8c199e84d2
2026-07-30,overnight,ROLL,{},10246.57,10246.57,隔夜+1.96%-成本,2026-07-30 20:10,94318ef62c7ea8b3d4782f38c1ffef8dcdaf692251c3ca77255e0e8c199e84d2,5cb0dcdc0c05780854135ed85924dc7c834ba7b3a20b3e532a75d9a67e17a3c5
2026-07-30,signal,HOLD,"{""NASDAQ"": 0.379128}",0.0,9524.52,,2026-07-30 20:10,5cb0dcdc0c05780854135ed85924dc7c834ba7b3a20b3e532a75d9a67e17a3c5,9b6cb7071c1ddb4bbe1c30c9d3a4a3a58d1c964dc496b6a7f104ca7a91880b7d
